ORIGINAL TEXT	TRANSLATION
Original language summary: <br/> Italia: a Roma, Vicenza, Sassari, Salerno e Palermo sorgeranno nuclei edilizi pilota. Il programma edilizio, elaborato dal ministero dei lavori pubblici con la collaborazione della sezione economica dell'ambasciata degli Stati Unito e del comitato nazionale per la produttività prevede una spesa di due miliardi e mezzo di lire prelevati dal fondo Erp.	Original language summary: <br/> Italy: in Rome, Vicenza, Sassari, Salerno and Palermo pilot building blocks will be built. The building programme, drawn up by the Ministry of Public Works with the collaboration of the economic section of the United States embassy and the National Committee for Productivity, provides for two and a half billions of liras to be spent from the Erp fund.
Il bozzetto presenta un disegno a mano di una silhouette intera femminile composta da un lungo vestito tratteggiato a pennarello. Accanto alla silhouette sono presenti annotazioni a mano in pennarello e matita colorata. Sul lato sinistro è presente un campione di tessuto con strass termosaldati puntato con due spilli in modo da mostrare sia il dritto che il rovescio del tessuto. Il foglio è marcato Giorgio Armani ed è segnata la lettera B e il numero 2275.	The sketch presents a feminine silhouette composed of a long dress sketched with a marker. Beside the silhouette there are hand-annotations in colored pen and pencil. On the left side there is a sample of fabric with rhinestones pointed with two pins to show both the straight and the reverse of the fabric. The sheet is marked Giorgio Armani and marked with the letter B and the number 2275.
Mostra di costumi di scena della Fondazione Cerratelli allestita presso il Museo  della Grafica dell'Università di Pisa. I costumi esposti sono tutti relativi all'opera lirica Il Don Giovanni di Wolfgang Amadeus Mozart. Costumi più classici per foggia e decoro sono in contrapposizione a costumi più innovativi e fantasiosi, quest'ultimi realizzati dal costumista Emanuele Luzzati per il Teatro dell'Opera di genova nel 1976.	Exhibition of stage costumes of the Cerratelli Foundation set up at the Museum of Graphics of the University of Pisa. The costumes exhibited are all related to the opera Il Don Giovanni by Wolfgang Amadeus Mozart. More classic costumes for manufacture and decoration are contrasted with more innovative and imaginative costumes, the latter made by costume designer Emanuele Luzzati for the Opera of Genoa in 1976.
"Costume cinematografico per il personaggio di un borghese in La bisbetica domata di William Shakespeare, regia di Franco Zeffirelli, 1967.
Il costume riproduce, con libertà d'invenzione, un abito maschile da borghese in epoca rinascimentale. Il costume è stato creato dalla maestria di Danilo Donati che ha interpretato la moda del tempo guardando alle fonti iconografiche del primo Cinquecento. 

Dettagli: Abito composto da strisce di materiali diversi, fra cui prevalgono: velluti in viscosa, taffetas e raso in viscosa, teletta di lurex dorata, pelle. Rifiniture in lana con trame di lurex dorato.

Esposizioni: L’arte della Meraviglia, Filatoio di Caraglio, Caraglio (Cuneo), 2012-2013.

Bibliografia: Monumenta. I costumi di scena della Fondazione Cerratelli 2009, pp.140-141. 
L’arte della Meraviglia 2012, pp. 34-35."	Film costume for the character of a bourgeois woman in William Shakespeare's La bisbetica domata, directed by Franco Zeffirelli, 1967. The costume reproduces, with freedom of invention, a masculine bourgeois dress in Renaissance times. The costume was created by the majesty of Danilo Donati who interpreted the fashion of the time by looking at the iconographic sources of the first sixteenth century. Details: Dress composed of strips of different materials, among which prevail: velvets in viscose, taffetas and satin in viscose, telet of gilt lurex, leather. Finishes in wool with textures of gilt lurex. Expositions: The art of the Meraviglia, Caraglio Thread, Caraglio (Cuneo), 2012-2013. Bibliography: Monumenta. The stage costumes of the Cerratelli Foundation 2009, pp.140-141. 2012, pp. 34-35.
Mostra di costumi di scena della Fondazione Cerratelli. Costumi realizzati, nel Novecento, dal costumista Danilo Donati per il film Romeo e Giulietta di Franco Zeffirelli, 1968. Donati con questo film ha vinto l'Oscar per i migliori costumi nel 1968. Costumi che guardano alla foggia del Primo Rinascimento attraverso l'iconografia del tempo. La mostra tenutasi a New York ha permesso di valorizzare l'importanza dell'artigianalità italiana e in particolar modo di quella Toscana.	Exhibition of stage costumes of the Cerratelli Foundation. Costumes made, in the twentieth century, by costume designer Danilo Donati for Franco Zeffirelli's movie Romeo and Juliet, 1968. Donati with this film won the Academy Award for Best Costumes in 1968. Costumes looking at the sewer of the First Renaissance through the iconography of the time. The exhibition held in New York made it possible to valorise the importance of Italian craftsmanship and especially that of Tuscany.
Il look è composto da una giacca doppiopetto, un gilet e un pantalone dal taglio maschile, realizzati nello stesso tessuto, e da una camicia classica. L'ensemble fa parte della collezione autunno/inverno 1993-94, che celebra il 'nuovissimo lusso', che mischia elementi iper-femminili a linee e costruzioni dichiaratamente maschili, in colori pieni e pastosi, 'rubati dalla tavolozza di Matisse' come dichiara il comunicato stampa. Compare nel catalogo pubblicitario della collezione autunno/inverno 1993-94 fotografato da Peter Lindbergh e indossato da Amber Valletta.	The look is composed of a double-breasted jacket, a waistcoat and a mens-cut trousers, made in the same fabric, and a classic shirt. The ensemble is part of the fall/winter 1993-94 collection, celebrating the ‘brand-new luxury,’ which mixes hyper-feminine elements with lines and constructions that are explicitly masculine, in full and pasty colours, ‘stolen from Matisse's palette’ as stated in the press release. It appears in the advertising catalogue of the fall/winter 1993-94 collection photographed by Peter Lindbergh and worn by Amber Valletta.
Mostra di costumi di scena della Fondazione Cerratelli. Costumi realizzati, nel Novecento, da costumisti di fama internazionale per il cinema e i più importanti teatri di tutto il mondo.	Exhibition of stage costumes of the Cerratelli Foundation. Costumes made in the twentieth century by internationally renowned costume designers for cinema and the most important theatres worldwide.
"Abito in cotone stampato disegno ""Lune"" nei colori del bianco, rosa, verde e toni del blu, con collo ovale, manica corta, vitina gioiello con applicazioni in plastica."	Printed cotton dress with ‘Lune’ motifs in white, pink, green and blue shades, with oval neckline, short sleeves, jeweled waistband with plastic applications.
Lunga gonna, bustier top	Long skirt, bustier top
Casacca giacca, fondo aperto pantaloni	Jacket, wide trousers
"Abito in misto cotone in tinta unita di colore viola, con collo giro a bordo riportato, spallina larga, motivi a semicerchio sul davanti. Fodera in poliestere disegno ""Lune"". Abbinata cintura."	Cotton-blend purple dress, with round double neckline,  wide shoulder strap, and a half-circles motif on the front. Polyester lining with ‘Lune’ motif. Belted.
Il look è composto da una casacca e un paio di pantaloni dal design marcatamente ispirato all'oriente, e in particolare agli oyoroi, le armature dei samurai giapponesi. Appartiene alla collezione autunno/inverno 1981-82, un omaggio al Giappone e alla sua ben definita tradizione vestimentaria, riportata in voga dal film Kagemusha di Akira Kurosawa, uscito nel 1980, che ebbe grande successo in occidente. L'ensemble è stato esposto nella retrospettiva, curata da Harold Koda e Germano Celant, che il museo Guggenheim ha dedicato a Giorgio Armani nel 2000.	The look is composed of a jacket and a pair of trousers with a design strongly inspired by the East, and in particular the oyoroi, the armour of Japanese samurai. Belongs to the fall/winter 1981-82 collection, a tribute to Japan and its well-defined dress tradition, reproduced in vogue by Akira Kurosawa's movie Kagemusha, released in 1980, which was highly successful in the West. The ensemble was exhibited in the retrospective, edited by Harold Koda and Germano Celant, which the Guggenheim Museum dedicated to Giorgio Armani in 2000.
"Impermeabile in cotone stampato disegno ""Lune"" nei colori del bianco, rosa, verde e toni del blu, con collo giro, manica 3/4, motivi a semicerchio sul davanti. Fodera in poliestere di colore turchese. Abbinata cintura."	Printed cotton raincoat with ‘Lune’ motif in white, pink, green and blue tones, with round neckline, 3/4 sleeve, and a semicircle pattern on the front. Turquoise polyester lining. Belted.
Blusa camicia, cinesi pantaloni	Blouse, Chinese trousers
"Top in cotone e seta stampato disegno ""Wing"" nei toni del celeste, con scollo ampio, maniche corte volants, coulisse sotto il seno, vitina arricciata. Fodera in cotone di colore bianco."	Cotton and silk top printed with the ‘Wing’ motif in light-blue tones, with wide neckline, short volants, a coulisse under the breast, gathered waistline. White cotton lining.
Bustier tuta	Bustier jumpsuit
Fondo aperto pantaloni, corto top	Wide trousers, short top
Monospalla vestito	One-shoulder dress
Body top, lunga gonna	Bodysuit, long skirt
"Abito lungo in seta stampata disegno ""Wing"" nei toni del celeste, con scollo ovale, spallina stretta con applicazioni gioiello in plastica, plissettato. Fodera in seta di colore bianco."	Long dress in plisse printed silk with ‘Wing’ motif in light blue tones, with oval neckline, narrow shoulder strap with plastic jewel applications. White silk lining.
Il look è composto da una tuta bustier ricamata; è completato da un paio di sneakers bianche e nere. Appartiene alla collezione autunno/inverno 2002-03, caratterizzata da giacche corte e avvitate, pantaloni molti ampi, gonne larghissime e maglieria dalle basse finezze. La pelle è largamente utilizzata in capi dai tagli che omaggiano Amelia Earhart. Satin, rasi e lane asciutte nei toni del rosa carne e cipria diventano per la sera chiffon e sete leggere, con tinte più naturali.	The look is composed of an embroidered bustier jumpsuit; it is completed by a pair of black and white sneakers. It belongs to the fall/winter 2002-03 collection, characterised by short jackets and screwed jackets, wide trousers, very wide skirts and fine knitted pieces. The leather is widely used in garments, an homage to Amelia Earhart. Satin and wools in the tones of the dusty pink rose and powder turn into chiffon and light silk for the evening, with more natural tones.
Il look è composto da un body con maniche lunghe in maglia blu e da una gonna lunga in seta blu scuro. Fa parte della collezione autunno/inverno 1998-99, caratterizzata da linee pulite ed asciutte, 'a matita', colori di fondo uniformi, sporcati da toni in contrasto. Conta molte giacche con vita segnata, lunghi soprabiti e maglie a tunica. Per la sera il vestito ricamato è accostato alla giacca dal taglio essenziale. L'ensemble è stato indossato da Natalia Semanova e fotografato da Paolo Roversi per la campagna pubblicitaria autunno/inverno 1998-99.	The look is composed of a bodysuit with long sleeves in blue fabric and a long skirt in dark blue silk. Part of the fall/winter 1998-99 collection, characterised by clean and dry ‘pencil’ lines, uniform background colors, mixed with contrasting tones. It contains many jackets with fitted waist, long overcoats and jersey tunic. For the evening the embroidered dress is paired with the jacket with essential cut. The ensemble was worn by Natalia Semanova and photographed by Paolo Roversi for the autumn/winter 1998-99 advertising campaign.
Gonna in cotone dipinta a mano	Hand-painted cotton skirt
Il look si compone di una canotta ricamata con pietre di vetro trasparenti e un pantalone lungo e morbido munito di bretelle. Completa il look una pochette ricamata con perline. Appartiene alla collezione primavera/estate 2001, dedicata alla 'nouvelle garçonne'. La collezione trae ispirazione dai tagli e dalle costruzioni degli anni Venti, fatta di forme maschili usate per mostrare il corpo femminile; propone ampi pantaloni con bretelle, maglie morbide, giacche maschili destrutturate. Particolare importanza è data alle disegnature, stampate o jacquard: righe, quadrettature, microcheck.	The look is composed of an embroidered top with transparent glass stones and long, soft trousers fitted with braces. A little beaded pocket completes the look. It belongs to the spring/summer 2001 collection dedicated to the ‘nouvelle garçonne.’ The collection draws inspiration from the cuts and constructions of the Twenties, made of masculine shapes used to show the female body. Proposes wide trousers with braces, soft meshes, destructured masculine jackets. Particular importance is given to disegnates, printed or jacquard: lines, squares, microcheck.
Bustier vestito	Bustier dress
Gonna a ruota in cotone in tinta unita di colore nero, dipinto a mano con motivo foglie, vita alta.	Full skirt in black cotton, hand-painted with leaf pattern, high waist.
Disegno a mano; campionatura	Hand drawing; samples
Abito in jersey di seta in tinta unita di colore nero, con collo giro, manica lunga arricciata al polsino, vita alta, gonna arricciata, con frange.	Black silk jersey dress with a round neckline, long sleeve with cuff, high waist, gathered skirt, with tassels.
Il bozzetto presenta il disegno a mano di una silhouette intera femminile, composta da una giacca sfiancata con collo applicato, sagomato come i lembi di un papillon, con polsini da camicia e texture accennata a pennarello e da un paio di pantaloni ampi con orlo a contrasto. Sono presenti annotazioni a matita che chiarificano il modello: 'Pn uomo aperto sul fianco'; 'Pantalone cadì finto'. Il foglio è marcato Giorgio Armani ed è segnato a mano il numero 1.	The sketch presents a feminine silhouette, composed of a brushed jacket with an applied lapel, shaped like the flaps of a papillon, with shirt cuffs and texture hinted with a marker and a pair of wide trousers with contrasting rim. There are pencil annotations that clarify the model: ‘Pn man open on the side’; ‘Pantalone cadi finto’. The sheet is marked Giorgio Armani and marked the number 1 by hand.
Lo sport	Sport
Abito chemisier in seta e cotone in tinta unita di colore nero con applicazioni gioiello in plastica oro, con manica lunga svasata, abbottonato sul davanti, vita alta stile impero, linea svasata. Fodera in poliestere di colore nero.	Silk and cotton chemisier dress with gold plastic jewel applications, with long flared sleeves, buttoned on the front, high-waist empire style, flared line. Black polyester lining.
Abito lungo in misto seta	Long dress in blended silk
Abito lungo in misto seta in tinta unita di colore nero, con spallina stretta, vitina con tagli laterali, gonna ampia.	Long dress in mixed black silk, with narrow shoulder, side cuts at the waist, wide skirt.
Abito in seta in tinta unita di colore nero con applicazioni gioiello in plastica oro, con scollo ampio, spallina larga, vita alta, motivo a punta sul davanti con ruches, linea trapezio, gonna a pieghe. Fodera in seta di colore nero.	Black silk dress iwith gold plastic jewel applications, with wide neckline, wide shoulder straps, high waist, pointed pattern on the front with ruches, trapeze line, folded skirt. Black silk lining.
Costume teatrale	Theatre Costume
Costume cinematografico	Film Costume
camoscio nero con decorazione in raso nero	Black suede with black satin decoration
gros grain nero e beige con fiocco	Black and beige grosgrain with bow
raso nero e laminato platino	black satin and platinum laminate
tessuto beige con decorazione in strass	beige fabric decorated with strass
rete con decorazioni di strass e ricami	mesh fabric with rhinestones and embroidery
capretto laminato antracite e cromo	Anthracite and chromium laminated kidskin
crespo di Cina nero/ tessuto nero e argento	Black crepe de chine/black and silver fabric
camoscio viola e laminato platino	purple and platinum laminated chamois leather
nabuk nero e tessuto regimental nero e sabbia	Black nabuk and black and sand regimental fabric
mezzovitello nero/ camoscio nero/ laminato bronzo	Black calfskin/black chamois leather/bronze laminate
camoscio marrone e mezzovitello bordeaux	Brown chamois leather and burgundy calfskin
tessuto logato -Zucca- color sabbia e nero/ vitello testa di moro con lacci neri	"Sand and black ""Zucca"" logo print fabric / dark brown calfskin with black laces"
vitello verde -lime-/ raso grigio/ catene di metallo e decorazione di perline e pietre	-Lime- Green calf / grey satin/ metal chains and decoration of beads and stones
vernice bianca con ornamenti in nero/ rosa e nylon	White patent leather with black/pink and nylon ornaments
I costumi di scena. Un cammino lungo 1000 anni.	The stage costumes. A 1000 years long path
Blusa camicia, corta gonna, fondo chiuso pantaloni	Blouse, short skirt, tight trousers
Fratello Sole, Sorella Luna. Francesco e il suo tempo.	Brother Sun, Sister Moon. Francesco and his time.
Classica camicia, bomber capospalla, fondo chiuso pantaloni	Classic shirt, bomber jacket, tight trousers
Classica camicia, doppiopetto giacca, fondo chiuso pantaloni	Classic shirt, double breasted jacket, tight trousers
Stage costume  for Ancella per Turandot	Stage costume for Ancella for Turandot
Classica camicia, mezzopetto giacca, monopetto gilet, fondo chiuso pantaloni	Classic shirt, half-breasted jacket, single breasted waistcoat, tight cuffed trousers
Lumberjack camicia, cappotto capospalla, monopetto gilet, fondo chiuso pantaloni	Lumberjack shirt, top coat, single waistcoat, tight end trousers
Abito in seta ricamata con applicazioni in plastica	Embroidered silk dress with plastic applications
Classica camicia, monopetto giacca, monopetto gilet, fondo chiuso pantaloni	Classic shirt, single breasted jacket, single breasted waistcoat, tight cuffed trousers
Monopetto giacca, smoking pantaloni	Single breasted jacket, tuxedo trousers
L’arte della meraviglia. Costumi di scena della Fondazione Cerratelli.	The art of wonder. Costumes of the Cerratelli Foundation.
Classica camicia, doppiopetto giacca, monopetto gilet, fondo chiuso pantaloni	Classic shirt, double breasted jacket, single breasted waistcoat, tight cuffed trousers
Mezzopetto giacca, fondo chiuso pantaloni	Half breasted jacket, tight cuffed trousers
Stage costume  for Borghese per La bisbetica domata	Stage costume for Borghese for ‘La bisbetica domata’
Blusa camicia, cappotto capospalla, fondo aperto pantaloni	Blouse, overcoat, trousers
Stage costume  for Civetta per  L’enfant et les sortilèges	Stage costume for Civetta for L'enfant et les sortilèges
Fondo chiuso pantaloni, canotta top, monopetto giacca	Narrow trousers, top, single breasted jacket
Abito in cotone stampato e ricamato con applicazioni in plastica	Printed and embroidered cotton dress with plastic applications
Monopetto giacca, fondo chiuso pantaloni	Single breasted jacket, tight cuffed trousers
Impermeabile in cotone stampato con impunture	Printed cotton raincoat with topstitching
Completo in seta stampata caftano e body	Ensemble made of a printed silk caftano and bodysuit
Monopetto giacca, fondo aperto pantaloni	Single breasted jacket, wide trousers
Abito lungo in seta stampata e ricamata	Long dress in printed and embroidered silk
Completo in seta stampata e ricamata con perline e paillettes	Ensemble made of printed silk embroidered with beads and sequins
Abito chemisier in seta e cotone ricamato	Chemisier dress in silk and embroidered cotton
scarpa chiusa con cinturino (Mary Jane)	closed-toe strap shoe (Mary Jane)
scarpa aperta dietro con cinturino (chanel) spuntata	Open back and open toe strap shoe (chanel)
scarpa ballerina aperta ai lati (d orsay)	Ballerina shoe open at the sides (d orsay)
Italia, San Giuliano Terme - Pisa.	Italy, San Giuliano Terme - Pisa.
Corso dell'alto Isonzo, Copertina del fascicolo della rivista  'Lo sport illustrato e la guerra', anno III, n. 17, 30 settembre 1915, p. 436	Course of Upper Isonzo, Cover of the issue of the magazine ‘Lo sport illustrato e la guerra,’  year III, no. 17, 30 September 1915, p. 436
Nel quartiere Pigneto, in Via del Pigneto	In the district of Pigneto in Via del Pigneto
Opera realizzata all'esterno dello spazio pubblico autogestito Leoncavallo	Artwork realised outside the self-managed public space Leoncavallo
Opera realizzata presso lo spazio pubblico autogestito Strike	Artwork realised in the public self-managed space Strike
Nella primavera del 1976 un gruppo di studenti universitari, variamente impegnati in politica, creò il collettivo L’Asino che vola, per attirare l’attenzione sul degrado della zona e sul problema dell’abbandono forzato del centro storico da parte della popolazione residente. Il gruppo aveva l’obiettivo di stimolare gli abitanti a pensare a un progetto di risanamento della zona di Tor di Nona. Dipinsero pertanto una serie di murales su alcuni palazzi abbandonati in Via di Tor di Nona. Nel 1981 venne condotto a termine il restauro degli edifici, ma i murales vennero cancellati, ad eccezione dell’asino che vola, che rappresenta la memoria storica del periodo e che in tempi successivi è anche stato sottoposto a restauro.	In the spring of 1976 a group of university students, variously engaged in politics, created the collective 'The Flying Donkey', to draw attention to the degradation of the area and the problem of forced abandonment of the historical centre by the resident population. The group aimed to encourage the inhabitants to think about a project to rehabilitate the area of Tor di Nona. They therefore painted a series of murals on some abandoned buildings in Via di Tor di Nona. In 1981 the restoration of the buildings was completed, but the murals were cancelled, with the exception of the donkey, which represents the historical memory of the period and which was also restored in later times.
Opera realizzata presso lo spazio pubblico autogestito Leoncavallo	Artwork realised at the public self-managed space Leoncavallo
Trittico	Triptych
Paesaggio urbano con ballerina sulla Parete esterna dell’ex Circolo degli Artisti	Urban landscape with dancer on the outer wall of the former Circolo di ArtistiCircolo degli Artisti
Su un portone di un palazzo in Via degli Ausoni nel quartiere romano di San Lorenzo.	On a doorway of a building on Via degli Ausoni in the Roman neighbourhood of San Lorenzo.
Casse da morto	Coffins
Ritratto dei due attori realizzato in Via Alcamo nei pressi della Stazione Casilina	Portrait of the two actors in Via Alcamo near Stazione Casilina
Clint Eastwoord	Clint Eastwoord
L’attore in uno dei tre film spaghetti-western della “Trilogia del dollaro” diretti da Sergio Leone	"The actor in one of the three spaghetti-western movies of the ""Dollar's Trilogy"" directed by Sergio Leone"
David e Venere	David and Venus
"Opera dedicata ‘a Fausto e Iaio"", Fausto Tinelli e Lorenzo Iannucci, giovani vittime durante gli anni di piombo, realizzata sul muro esterno dello spazio pubblico autogestito Leoncavallo"	Artwork dedicated to Fausto and Iaio, Fausto Tinelli and Lorenzo Iannucci, young victims during the years of lead, built on the outer wall of the self-managed public space Leoncavallo
Diavoletto	Little devil
Piazza Venezia. Appartiene alle serie di piccoli sticker su cartelli stradali raffiguranti omini, angeli, cuori, croxifissi, ecc.	Piazza Venezia. Belongs to the series of small stickers on road signs depicting donkeys, angels, hearts, crucifixes, etc.
Figura femminile e uccelli	Female figure and birds
"Nel cortile del Liceo scientifico Morgagni. Due gruppi di elefanti ai lati di un albero. Fiaba: ""Elefanti bianchi e neri / erano un dì s[...] e fieri / destinati nella lotta / tutti quanti alla sconfitta / triste assai la loro sorte / GUERRA portò tutti alla morte. / Solo pochi BIANCHI e NERI / calmi, pacifici, astuti e SINCERI / fuggire decisero in un / boschetto contratti / loro a / qualsiasi CONFLITTO / figli grigi nacquero in / quella situazione / ma ancor non vedo / la nazione / fati [...] e pacifici / animali giganti / che io e te chiamiamo / ELEFANTI"	"In the courtyard of the Liceo scientifico Morgagni. Two groups of elephants on the sides of a tree. Fable: ""White and black elephants/they were one day [...] and proud/all destined in the struggle/to defeat/very sad their fate/WAR led them all to death./Only a few WHITE and BLACK/calm, peaceful, smart and SINCERE/decided to flee in  a/grove opposed/they to/any CONFLICT/grey children were born in/that situation/but I still don't see/the nation/ [...] and peaceful/giant animals/whom I and you call/ELEPHANTS"
Su un cancello arrugginito in Via Fanfulla da Lodi nel quartiere Prenestino.	On a rusty gate in Via Fanfulla da Lodi in the Prenestino district.
All’interno del Centro sociale occupato Forte Prenestino	Inside the occupied Social Centre Forte Prenestino
Realizzato nella Hall of Fame di Via Renato Cesarini	Realized in the Hall of Fame of Via Renato Cesarini
Nel quartiere parigino della Contrescarpe in Rue de l'Arbalete. Accanto a Gandhi compare la scritta “An eye for an eye makes the all world blind”	In the Parisian district of Contrescarpe in Rue de l'Arbalete.  ‘An eye for an eye makes the all world blind’ appears next to Gandhi
Realizzato nel quartiere Ostinese, sottopasso ferroviario di Via delle Conce	Made in the Ostiense district, railway underpass Via delle Conce
Nel quartiere romano di Tor Pignattara	In the Roman district of Tor Pignattara
Uno dei felini che dall'11 settembre 2001 compare su muri apparentemente irraggiungibili della capitale francese. Il regista Chris Marker li ha utilizzati come traccia per un documentario su Parigi, la Francia e il mondo (Chats Perchés, 2004). Il giovane autore, vero poeta, è rimasto anonimo fino al 2008	One of the felines appearing on seemingly unreachable walls of the French capital since 11 September 2001. Director Chris Marker used them as a track for a documentary about Paris, France and the world (Chats Perchés, 2004). The young author, true poet, remained anonymous until 2008
Opera realizzata in Via Tiburtina, all’esterno della Stazione metro S. Maria del Soccorso	Artwork made in Via Tiburtina, outside the St. Maria del Soccorso metro station
"Murale realizzato in via Pacinotti dagli artisti Blu, Ericailcane, Run, Dutch in occasione della performance ""Street attitudes"""	Mural made in Via Pacinotti by artists Blu, Ericailcane, Run, Dutch during the performance ‘Street attitudes'
All’interno del Centro sociale occupato Forte Prenestino, sulla parete posteriore della Piazza d’Armi. Murale realizzato assime all’artista Hitnes	Inside the occupied Social Centre Forte Prenestino, on the back wall of the Piazza d'Armi. Mural made together with artist Hitnes
All’interno del Centro sociale occupato Forte Prenestino. Una giraffa celeste con macchie arancioni, una giraffa arancione con macchie celesti	Inside the occupied Social Centre Forte Prenestino. A sky blue giraffe with orange spots, an orange giraffe with sky blue spots
Nel sottopasso tra Piazzale della Radio e Via Ettore Rolli. Scomparso	On the underpass between Piazzale della Radio and Via Ettore Rolli. Disappeared
Rappresenta un bambino che si arrampica su una scala composta di matite colorate per guardare oltre gli edifici: il dipinto si ispira alla drammatica storia di Luca, bambino nato e cresciuto a Tor Marancia e morto tragicamente in seguito a un incidente. Il titolo dell'opera è ispirato alla statua del Cristo Redentore di Rio de Janeiro, in Brasile. Sulla parete esterna del Museo condominiale di Tor Marancia	Represents a child climbing a staircase composed of coloured pencils to look beyond buildings: the painting is inspired by the dramatic story of Luca, a boy born and raised in Tor Marancia and died tragically after an accident. The title of the work is inspired by the statue of Christ the Redeemer in Rio de Janeiro, Brazil. On the outer wall of the Condominium Museum of Tor Marancia
Il direttore d’orchestra e il bambino	The conductor and the child
Realizzato nel quartiere Appio Latino, in Via Satrico	Made in the district Appio Latino, in Via Satrico
Nel cortile del CSOA ex Snia Viscosa. Riproduzione dell'opera di Pelizza da Volpedo.	In the courtyard of CSOA ex Snia Viscosa. Reproduction of Pelizza da Volpedo's work.
Muro esterno del MAAM, Museo dell'altro e dell'altrove di Metropoliz	External wall of MAAM, Museum of the Other and the Elsewhere, Metropoliz
L'artista ha ritratto l'occhio destro dell'intellettuale italiano, all'interno del quale si distingue il profilo della penisola italiana.	The artist portrayed the right eye of the Italian intellectual, in which the profile of the Italian peninsula is distinguished.
Prima opera d’arte muraria prodotta dalla galleria Wunderkammern nel quartiere romano di Tor Pignattara. Un gigantesco orecchio si staglia sulla facciata del palazzo nell'atto di ascoltare.	First work of urban art produced by the gallery Wunderkammern in the Roman quarter of Tor Pignattara. A gigantic ear stands on the façade of the palace in the act of listening.
"In una sala interna del MAAM, Museo dell'altro e dell'altrove di Metropoliz. I ""guerrieri della luce"" a difesa dell'ingresso."	In an inner room of MAAM, Museum of the Other and Other, Metropoliz. The ‘warriors of light’ defending the entrance.
La montagna sacra	The Holy Mountain
Lupa capitolina	Capitoline she-wolf
"In occasione dell'inaugurazione della nuova sede della scuola Officine Fotografiche in Via G. Libetta 1 a Roma, il collettivo Artcock ha realizzato l'installazione di un wallpaper fotografico di 12 x 12 metri sulla facciata anteriore dell'edificio. L'opera, intitolata ""La montagna sacra"", raffigura un groviglio di 73 fotografi protagonisti della storia della fotografia: da Capa a Mapplethorpe, da Leibovitz ad Avedon, da Daguerre a Newton... In cima alla montagna, svettano gli Artcock, il collettivo dei tre fotografi romani - Niccolò Berretta, Federico Maria Tribbioli e Filippo Silli - noti esponenti della poster art italiana."	On the occasion of the inauguration of the new headquarters of the School of Photographic Works in Via G. Libetta 1 in Rome, the collective Artcock made the installation of a 12 x 12 metre photographic wallpaper on the front façade of the building. The work, entitled ‘The Holy Mountain,’ depicts a tangle of 73 photographers involved in the history of photography: from Capa to Mapplethorpe, from Leibovitz to Avedon, from Daguerre to Newton... On top of the mountain, the Artcock, the collective of three Roman photographers - Niccolò Berretta, Federico Maria Tribbioli and Filippo Silli - well-known exponents of Italian poster art.
Nel centro storico romano, Via della Lupa	In the historical centre of Rome, Via della Lupa
Melting Icons: Anna Magnani	Melting Icons: Anna Magnani
"Su uno dei piloni esterni del sottopasso ferroviario di Via delle Conce. Madonnella moderna lungo la strada verso la Basilica di San Paolo. Scritta: ""Guidami sulla giusta strada e proteggimi dalle buche""."	On one of the outer piers of the railway underpass of Via delle Conce. Modern 'Madonnella' along the road to the Basilica of San Paolo. Written: ‘Drive me on the right road and protect me from holes.’
All’interno del Parco delle Energie, Playground quadrato, nel Parco della Sx Snia Viscosa nel quartiere Prenestino	Inside the Energie Park, Square Playground, in the Park of Ex Snia Viscosa in the Prenestino district
Melting Icons: Mario Monicelli	Melting Icons: Mario Monicelli
"Sul mantello della Monna Lisa la scritta: ""S.W.O. The art must rule""."	On the mantle of Monna Lisa the words: ‘S.W.O. The art must rule.’
Nel quartiere di San Lorenzo. Installazione realizata in via dello Scalo di San Lorenzo, riutilizzando un bidone.	In the San Lorenzo district. Installation made in Via dello Scalo di San Lorenzo, reusing a bin.
Il titolo dell’opera si riferisce all’appellativo dato al quartiere Quadraro in senso spregiativo dal comandante della Gestapo Herbert Kappler durante l’occupazione nazista di Roma. Fu lui a organizzare l’Operazione Balena il 17 aprile 1944, un’operazione militare tedesca ai danni della popolazione del quartiere, nel corso della quale più di mille uomini vennero rastrellati e condotti verso i campi di concentramento. Il murale va inteso come un monumento alla Resistenza romana. L'artista ha realizzato questo murale nell'ambito del progetto MURO in occasione delle celebrazioni del Q44, la deportazione nazista del Quadraro avvenuta nel 1944.	The title of the work refers to the appellation given to the Quadraro district in a derogatory sense by the Gestapo commander Herbert Kappler during the Nazi occupation of Rome. He organized Operation Balena on April 17, 1944, a German military operation against the population of the district, during which more than a thousand men were raked and led to concentration camps. The mural is to be understood as a monument to the Roman Resistance. The artist realized this mural as part of the MURO project during the celebrations of Q44, the Nazi deportation of the Quadraro in 1944.
All’interno del Centro sociale occupato Ex Snia Viscosa.	Inside the occupied Social Centre Ex Snia Viscosa.
Collocato in una nicchia accanto all'ex campo di calcio della Roma nel rione Testaccio. La Madonna schiaccia il serpente appoggiando i piedi sul mondo. La zebra della Juventus e il diavolo del Milan scappano.	Placed in a niche beside the former football ground of Rome in the rione Testaccio. The Madonna crushes the snake and rests her feet on the world. The Juventus zebra and the Milan devil escape.
Realizzato nel quartiere Ostiense, in Via del Porto Fluviale, in occasione dell'OUTDOOR Urban Art Festival 2011.	Made in the Ostiense district, Via del Porto Fluviale, for the 2011 OUTDOOR Urban Art Festival.
