ORIGINAL TEXT	TRANSLATION
"Etiquette de fabrication cousue à la griffe en toile, tissé rouge sur blanc : ""MADE IN FRANCE""."	Manufacturing label sewed with canvas claw, woven red on white: ‘MADE IN FRANCE.’
"Griffe sur manteau sous l'encolure couture milieu dos, tissé noir sur fond blanc : ""GRES / 1 / RUE / DELA/ PAIX / PARIS / MODELE / EXCLUSIF""."	Shoe on a coat under the neckline with back base, black woven on white background: ‘GRES/1/RUE/DELA/PAIX/PARIS/MODEL/EXCLUSIF.’
Alliage de cuivre; Émail (métal); Moulage (métal)	Copper alloy; Enamel (metal); Casting (metal)
Référence Géographique >  Asie >  Asie du Sud-Est >  Vietnam >  Vietnam du Nord (région) >  Delta de la Rivière Rouge (région) >  Namh Dinh (province)	Geographical Reference> Asia> South East Asia> Vietnam> North Vietnam (region)> Red River Delta (region)> Namh Dinh (province)
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte	Geographical Reference> Africa> North Africa> Egypt
Don manuel Lefort des Ylouses, Edmée	Don Manuel Lefort des Ylouses, Edmea
Figure féminine vêtue d'une robe à boutons, Marcelle Dormoy, Hiver 1949-1950	Female figure wearing a button dress, Marcel Dormoy, Winter 1949-1950
Don manuel La Selle, Patrice de (Madame)	Manual gift La Selle, Patrice de (Madame)
Petit grelot, en forme de fruit lobé, serti de deux traits en relief.	Small seal, in the shape of a lobed fruit, decorated with two relief lines.
Object: Théâtre Royal, Liège.	Object: Theatre Royal, Liège.
"Original language summary: <br/>
Séquence dramatisée sur Ernest Solvay (1838-1922), chimiste belge, patron d'industrie, philanthrope, qui a mis au point un procédé de fabrication de la soude."	Original language summary: <br/> Dramatized sequence on Ernest Solvay (1838-1922), Belgian chemist, boss of industry, philanthropist, who developed a process for the manufacture of soda.
"Sur la page de l'album, en haut à gauche, à l'encre noire : ""104"""	On the page of the album, at the top left, in black ink: ‘104’
Référence Géographique >  Amérique >  Amérique du Sud >  Chili	Geographical Reference> America> South America> Chile
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Qina (gouvernorat) >  Dayr al-Bahri	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Qina (governorate)> Dayr al-Bahri
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Sawhaj (gouvernorat) >  Abydos >  Umm el-Qa'ab (proche de Abydos)	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Sawhaj (governorate)> Abydos> Umm el-Qa' ab (close to Abydos)
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Assiout (gouvernorat) >  Dayr Rifeh	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Assiut (governorate)> Dayr Rifeh
Object: Musée archéologique[Namur], Namur.	Object: Archaeological Museum [Namur], Namur.
Object: Institut Royal du Patrimoine Artistique, Bruxelles.	Object: Royal Institute for Cultural Heritage, Brussels.
Object: Musée des Beaux-Arts[BAL], Liège.	Object: Museum of Fine Arts [BAL], Liège.
Les empêcheurs de démolir en rond	Les empêcheurs de démolir en rond 
Supplément DVD : les coulisses du film (making of)	DVD Supplement: behind the scenes of the film (making of)
"Original language summary: <br/>
L’émission de « Situation 76 » tente de préciser les questions que pose le développement du secteur électronucléaire en Belgique."	Original language summary: <br/> The broadcast ‘Situation 76’ tries to clarify the questions posed by the development of the nuclear power sector in Belgium.
"Original language summary: <br/>
Une journée à bord d’Ocean Viking, une plateforme de forage en mer du Nord qui a découvert le gisement pétrolier Ekofisk."	Original language summary: <br/> A day aboard Ocean Viking, a North Sea drilling platform that discovered the Ekofisk oil field.
"Au verso, en haut à gauche, au crayon graphite : ""7"""	On the verso, at the top left, in a graphite pencil: ‘7’
Dessin, feuille de papier dessinée et coloriée sur le recto.	Drawing, sheet of paper drawn and colored on the front.
"Original language summary: <br/>
Belgique: entraînement des pilotes de la Force aérienne: simulation de combat aérien dans un F 16, technique respiratoire pour éviter l'évanouissement."	Original language summary: <br/> Belgium: Air Force pilots training: air combat simulation in an F 16, breathing technique to avoid fainting.
"Original language summary: <br/>
Tourné à Lichinga, Mozambique: une jeune fille raconte les massacres commis durant la guerre civile."	Original language summary: <br/> Filmed in Lichinga, Mozambique: a young girl tells of the massacres committed during the civil war.
Ensemble de modèles de la collection, Robes de mariées 1950, Fonds d'archives graphiques de la maison Raphaël	Collection Model Set, Brides Dresses 1950, Graphic Archive Fund of the Raphael house
Deux boucles, figure masculine en justaucorps vert sapin, robe blanche avec caraco vert à la chinoise, planches n° 1-2-3, Magasin des modes, 34e cahier, 3e année, octobre 1788, Fonds d'estampes du XVIIIème siècle	Two buckles, male figure in green fir leotard, white dress with Chinese green caraco, plates n ° 1-2-3, Fashion shop, 34th notebook, 3rd year, October 1788, Eighteenth Century Printing Fund
"Au recto, en bas à droite, manuscrit à l'encre noire : ""Desrais fecit an 12"""	On the front, at the bottom right, manuscript in black ink: ‘Des, fecit an 12’
Dessin à l'encre noire aquarellé sur papier vergé.	Drawing with black watercolor ink on green paper.
"Au recto, en bas à gauche, manuscrit à l'encre noire : ""dessiné d'après le naturel par c.l. desrais 1779."""	On the recto, at the bottom left, manuscript in black ink: ‘drawn after the natural by c.l. to 1779.’
Boucle, petite, ovale en hauteur, 3 petits crochets doubles, ardillon 3 petites dents droites. Usage [ ? ].	Buckle, small, oval in height, 3 small double hooks, prong 3 small straight teeth. Usage [?].
Robe longue blanche drapée à bustier rehaussée d'une frise sur le bsutier et au bas de la robe	White long dress draped in a bustier with a frieze on the beaker and at the bottom of the dress
Ensemble de modèles des collections, hiver 1929-1930 à hiver 1930-1931, de la maison Marcelle Dormoy	Set of models of the collections, winter 1929-1930 to winter 1930-1931, of the Marcel Dormoy house
Plaque-boucle à plaque linguiforme et boucle ovale munie d'un ardillon à base scutiforme.	Buckle plate with tongue-shaped plate and oval buckle with prong with shield-shaped base.
Ensemble de modèles de la collection, Automne 1934, de la maison Marcelle Dormoy	Set of models from the collection, Autumn 1934, of the Marcel Dormoy house
Robe cintrée noire à motif ton sur ton à col mao et manches courtes et jupe évasée descendant sous le genou et gants	Black arched dress with tone-shaped motif with mao neck and short sleeves and flared skirt descending under the knee and gloves
Dossier : l'énergie thermique des mers	File: the thermal energy of the seas
Achat en vente publique Auguet, Françoise	Buy for public sale Auguet, Françoise
"Documentaire ""Super size me"" de Morgan Spurlock"	Super size me documentary by Morgan Spurlock
Festival Rock en Seine : 1 ère édition dans le domaine national de Saint Cloud	Rock Festival in Seine: 1st edition in the national field of Saint Cloud
Don manuel Latour de Geay, de, comtesse (Madame)	manual gift from Latour Geay, Countess (Madame)
Figure en manteau bleu marine et blanc au col et sur les manches, Marcelle Dormoy, Printemps 1947	Figure in navy blue and white coat at the neck and on the sleeves, Marcel Dormoy, Spring 1947
Habit en lévite enrichi de glands, d'épaulettes et de cordonets	Nude in Levite enriched with acorns, shoulder pads and cordonets
Tête coiffée d'un chapeau piqué d'une plume de Paulette	Head with a hat decorated with a feather by Paulette
Tailleur fuchsia avec veste évasée, à manches longues et jupe aux genoux et chapeau assorti	Fuchsia suit with long sleeve, wide jacket with matching knees and hat
Ensemble de modèles de la collection printemps1934 de la maison Marcelle Dormoy	Set of models from the Spring Collection 1934 by Marcel Dormoy House
Ensemble de modèles de la collection, Hiver 1935-1936, de la maison Marcelle Dormoy.	Set of models from the collection, Winter 1935-1936, of the Marcel Dormoy house.
Robe fourreau blanche à motif noir à une bretelle et jupe descendant aux genoux	White scabbard with black motif with a shoulder and a skirt descending to the knees
Tailleur grège avec veste légèrement cintrée à manches longues fermée par deux boutons et jupe légèrement évasée aux genoux, chapeau et gants	Grey tailor with slightly arched jacket with long sleeves closed by two buttons and slightly flared skirt with knees, hat and gloves
Feuille de papier peinte au recto	Paper sheet painted on the front
Robe composée d'une robe et d'une jupe. Robe bustier longue en velours de soie changeant rose et beige, plissé à la taille formant drapé.	Dress consisting of a dress and a skirt. Long bustier dress in silk velvet changing pink and beige, pleated with draped waist.
Ensemble en toile de coton magenta, composé d'un poncho et de son short. Poncho dissymétrique, une poche, 2 fentes pour les bras. Jupe courte.	Set of magenta cotton canvas, consisting of a poncho and its shorts. Unsymmetrical Poncho, a pocket, 2 slots for the arms. Short skirt.
Robe, ceinture et jupon	Dress, belt and petticoat
Taches vertes et noeuds griffonnés à l'encre bleue.	Green spots and knots with blue ink.
Robe longue en crêpe de viscose bleu turquoise, drapé avec 2 pans flottants, décolleté droit, sans manches, 4 panneaux en biais évasés, fendus devant et sur les côtés, boutons-pression attaches côté droit.	Long dress in turquoise blue viscose pancake, draped with 2 floating pans, straight neckline, without sleeves, 4 flared bias panels, split in front and on the sides, right side fastened press buttons.
"Aretha Franklin ""(Can get no) Satisfaction"""	Aretha Franklin ‘(Can get no) Satisfaction’
"Sylvia Kristel à propos de son livre ""Nue"""	Sylvia Kristel about her book ‘Nue’
Conférence d' Alain Bombard au Musée de la Marine sur son bateau l'Hérétique	Lecture by Alain Bombard at the Marine Museum on his boat in Heretic
Assiette en céramique engobée en argile blanche à engobe orange.	Ceramic plate with white clay and orange engobe.
Petit grelot de forme allongée, serti de trois traits gravés, patine brune.	Small bell with elongated shape, decorated with three engraved lines, brown patination.
Feuillet peint au recto, à perforations sur le côté gauche	Painted leaflet with perforations on the left side
Feuillet peint perforé sur la gauche et échantillon de tissu	Painted leaflet perforated on the left and sample of fabric
Dessin, modèle pour broderie de gilet carré, poche rectangulaire.	Drawing, model for embroidery of square vest, rectangular pocket.
Boucle de ceinture, très grande, rectangulaire, coins à pans, grande chape carrée, 2 petites griffes, ardillon, 2 grandes dents droites et fines avec arceau.	Belt buckle, very large, rectangular, pans corners, large square screed, 2 small claws, prong, 2 large straight and thin teeth with arch.
Bande avec 4 motifs de feuille stylisés, chape à motif de coeur.	Band with 4 stylized leaf motifs, clevis with heart motif.
"Griffe sur la robe en toile intérieur taille milieu devant, tissé noir sur blanc : "" GRES / 1 rue de la Paix Paris ""."	Claw on the dress in the middle waist inside front, woven black on white: ‘GRES/1 rue de la Paix Paris.’
"Tampon au recto en bas, à l'encre noire : ""CARNAVALET""."	Below, a stamp with black ink: ‘CARNAVALET.’
Dessin à l'encre noire et à la gouache sur papier vergé. Dessin démonté de son passe-partout en mars 2021	Drawing with black ink and gouache on green paper. Drawing disassembled from his hobby in March 2021
Ensemble avec blouse blznche à encolure ras du cou et manches longues et tailleur bleu outremer avec veste cintrée boutonnée, à col à revers et manches 7/8 et jupe évasée sous le genou et gants	Set with blznche blouse with neck necks and long sleeves and outremer blue tailor with button-down arched jacket, facing neck and 7/8 sleeves and flared skirt under the knee and gloves
Gilet décor bouquet oeillets et églantines, projets de broderies de gilet, XVIIIème siècle	Vessel decorated with eyelets and eglantines, vase embroidery projects, eighteenth century
Ensemble de modèles de la collection, hiver 1942-1943, de la maison Marcelle Dormoy	Model set of the collection, winter 1942-1943, of the house Marcel Dormoy
Figure en robe, motif géométrique, Marcelle Dormoy, hiver 1929-1930	Figure in dress, geometric motif, Marcel Dormoy, winter 1929-1930
Figure en robe noire, maison Marcelle Dormoy, collection été 1937	Figure in black dress, Marcel Dormoy house, collection summer 1937
Figure en robe du soir rose pâle à manches ballon, Marcelle Dormoy, Eté 1939.	Figure in pale pink evening dress with balloon sleeves, Marcel Dormoy, Summer 1939.
La révolution silencieuse 27/5/1981 (Partie 2)	The silent revolution 27/5/1981 (Part 2)
Tailleur à carreaux marron clair et foncé avec veste à large col rabattu, boutonnage et manches longues et jupe fourreau sous le genou et gants	Shower with light dark brown tiles with jacket with wide neck, buttoning and long sleeves and scabbard under the knee and gloves
Ensemble à petits carreaux noir avec robe fourreau à encolure bateau et manches courtes et jupe sous le genou et veste à col rabattu et manches longues, fermée au col et gants	Set with small black tiles with scabbard dress and short sleeves and skirt under the knee and jacket with long neck and long sleeves, closed at the neck and gloves
Manteau évasé à carreaux marron et ocre, à col à revers, manches 7/8 et poches profondes, descendant sous le genou et gants	Flared coat with brown and ochry tiles, facing neck, 7/8 sleeves and deep pockets, descending under the knee and gloves
Robe ajustée, sans manches, rehaussée au col de plumes d'autruche noires et jupe aux genoux asymétrique	Adjusted dress without sleeves with black ostrich feather neck and asymmetrical kneeling skirt
Robe cintrée taupe à manches courtes bordées de fourrure	Taupe circular dress with short sleeves with fur
Tailleur blanc avec veste courte légèrement cintrée à manches longues et fermée par un noeud et jupe fourreau aux genoux, chapeau et gants vert	White tailor with short slightly arched jacket with long sleeves and closed by a knot and scabbard with knees, hat and green gloves
Robe cintrée bisque à demi manches et encolure ras le cou et jupe ample aux genoux	Bisque arched dress with half sleeves and neck and ample skirt with knees
"Tampon au recto en bas au centre inscrit dans un rectangle, à l'encre bleue : ""RAPHAEL / [ Illisible ]""."	Stamp with recto at the bottom in the center, inscribed in a rectangle, in blue ink: ‘RAPHAEL/[Unreadable].’
"Inscription manuscrite au recto en haut à droite, à l'encre noire : ""[ Indication de matériau textile ]""."	Handwritten inscription on the top right, with black ink: ‘[Indication of textile material].’
Robe de jour rouge, esquisse de chapeau.	Red day dress, hat sketch.
Réglages à effectuer pour écouter en stéréophonie	Settings for listening in stereophony
Jean Schwarz, compositeur du Groupe de Recherches Musicales	Jean Schwarz, composer of the Musical Research Group
Vladimir Jankelevitch : Sous le signe des mots ; 2	Vladimir Jankelevitch: Under the sign of words; 2
Ensemble de 91 dessins de la collection de la maison Premet, 1928	Set of 91 drawings from the Premet House Collection, 1928
Robe cintrée à motif noir et blanc, à large col rabattu noué au ras du cou et manches chemisier et jupe évasée, descendant sous le genou, à plis creux	Cintrated dress with black and white motif, with wide neck, knotted to the neck and shirt sleeves and flaring skirt, descending under the knee, with hollow folds
Figure en robe aubergine avec liserets à pois bleu clair, Marcelle Dormoy, Printemps été 1940	Figure in eggplant dress with light blue polka dot piping, Marcel Dormoy, Spring Summer 1940
Une figure en manteau couleur lilas avec un foulard vert, Automne 1934, Maison de couture Marcelle Dormoy	A lilac colored coat figure with a green scarf, Autumn 1934, Marcel Dormoy fashion house
Figure en robe noire nouée au col et à la taille, avec dentelle noire (?), Marcelle Dormoy, automne 1942	Figure in black dress with neck and waist, with black lace (?), Marcel Dormoy, Autumn 1942
Achat en vente publique Hôtel des Ventes Drouot	Purchase in public sale Hotel de Ventes Drouot
Don manuel Lopez Cebrian, Rafaël (dit Raphaël)	Manual gift Lopez Cebrian, Rafaël (known as Raphael)
Feuillet peint perforé sur la gauche avec échantillon textile.	Painted leaflet perforated on the left with textile sample.
Dessin, feuillet peint au recto, à perforations sur le côté gauche.	Drawing, painted leaflet with perforations on the left side.
Référence Géographique >  Asie >  Asie du Sud-Est >  Vietnam >  Vietnam du Sud (région) >  Côte Sud-Central (région) >  Binh Dinh (province) >  Quy Nhon	Geographical Reference> Asia> South East Asia> Vietnam> South Vietnam (region)> South Central Coast (region)> Binh Dinh (province)> Quy Nhon
Référence Géographique >  Afrique >  Afrique septentrionale >  Soudan >  Al-Wasta (région) >  Nil Blanc (province) >  Sanam	Geographical Reference> Africa> North Africa> Sudan> Al-Wasta (region)> White Nile (province)> Sanam
Object: Asile de la Vieillesse Valdor, Liège.	Object: Asylum of the Old Valdor, Liège.
Object: Musée Félicien Rops, Namur.	Object: Félicien Rops Museum, Namur.
"Original language summary: <br/>
Le point sur la radioactivité après la catastrophe nucléaire de Tchernobyl, le 26 avril 1986."	Original language summary: <br/> Update on radioactivity after the Chernobyl nuclear disaster, 26 April 1986.
"Original language summary: <br/>
La réserve du plateau des Tailles, au sud-est de la Wallonie, en plein cœur de l’Ardenne."	Original language summary: <br/> The Tailles plateau reserve, in the southeast of Wallonia, in the heart of the Ardenne.
Robe cintrée blanche à petit motif beige à larges bretelles et boutonnage sur toute la hauteur jusqu'au plis au bas de la jupe évasée descdendant sous le genou et gants courts	White arched dress with small beige motif with wide shoulder straps and buttoning on the entire height to the crease at the bottom of the flaring skirt descending under the knee and short gloves
"Au recto, en haut à droite, au crayon graphite : ""Trompette"""	On the front, at the top right, with graphite pencil: ‘Trumpet’
"Au recto, au crayon graphite, en haut à droite: ""PANTHERE"""	On the front, with graphite pencil, at the top right: ‘PANTHER’
Dessin double face, feuille de papier dessinée au recto et au verso	Double sided drawing, sheet of paper drawn on the front and back
Figure en robe blanche à col haut et manches longues boutonnées aux poignets, ruban bleu noué à la taille, Fonds d'archives graphiques de Michel Goma	Figure in white dress with high neck and long handles buttoned to the wrists, blue ribbon tied to the waist, Graphic Archive Fund by Michel Goma
Asymétrique, courte, à douille rectangulaire, traces d'ornementation sur une face, belle patine vert clair.	Asymmetrical, short, with rectangular socket, traces of ornamentation on one side, beautiful light green patination.
Fibule en bronze émaillé, de forme discoïde munie de quatre autres petits disques disposés en croix.	Disc-shaped bronze fibula with four other small disks in the cross.
Ensemble de modèles de la collection, Printemps été 1940 de la maison Marcelle Dormoy	Collection Model Set, Spring Summer 1940 of the Marcel Dormoy House
"Sur la page de l'album, en haut à gauche, à l'encre noire : ""52"""	On the page of the album, at the top left, in black ink: ‘52’
Dessins de la collection Carven Pluie réunis en album.	Drawings of the Carven Pluie collection gathered as an album.
Tour de France : 14ème étape Tarbes Luz Ardiden : 1ère partie	Tour de France: 14th stage Tarbes Luz Ardiden: 1st part
Dessins de la collection Carven de l'hiver 1960 réunis en album.	Drawings of the 1960 Winter Carven Collection, gathered as an album.
Achat	Purchase
Manteau, robe et fond de jupe	Coat, dress and skirt background
"Etiquette de fabrication en toile intérieur devant taille, tissé rouge sur blanc : ""MADE IN FRANCE""."	Inner canvas label in front of a waist, red on white woven: ‘MADE IN FRANCE.’
Dessin à l'encre noire à la plume et au lavis sur papier vergé	Drawing with black ink with feather and grease on green paper
Dessins de la collection Carven de l'été 1958 réunis en album.	Drawings of the Carven Collection in the summer of 1958 in an album
Feuille de papier à gros carreaux, provenant d'un cahier, dessinée au recto avec un échantillon textile collé	Paper sheet with large tiles, from a notebook, drawn on the front with a bonded textile sample
Germain Muller présente le contexte du Vaisselier	Germain Muller presents the context of the Vaisselier
Estampe en couleurs, traces d'ancien montage. Epreuve rognée.	Stamp in color, traces of the old montage. Crowned test.
Feuille de papier calque dessinée montée sur un feuillet de papier cartonné perforé à gauche, avec un échantillon de tissu sur le calque en bas à droite	Drawn tracing paper mounted on a sheet of perforated card stock on the left, with a fabric sample on the tracing paper at the bottom right
Ensemble de modèles de la collection soir, Eté 1939, de la maison Marcelle Dormoy	Set of models from the collection evening, Summer 1939, of the house Marcel Dormoy
Ensemble de modèles de la collection, été 1937, de la maison Marcelle Dormoy	Set of models from the collection, summer 1937, of the Marcel Dormoy house
Figure en robe du soir aubergine boutonnée dans le dos, Marcelle Dormoy, Hiver 1935-1936.	Figure in an eggplant evening dress buttoned on the back, Marcel Dormoy, Winter 1935-1936.
Figure en robe noire à manches bouffantes à motifs blancs, Marcelle Dormoy, Hiver 1943-1944	Figure in black dress with hot sleeves with white motifs, Marcel Dormoy, Winter 1943-1944
Figure en manteau bleu indigo, Marcelle Dormoy, Eté Automne 1941	Figure in indigo blue coat, Marcel Dormoy, Summer Autumn 1941
Double 7 22/11/1994 (Nimy-Blaton canal)	Double 7 22/11/1994 (Nimy-Blaton canal)
Dessin, feuillet peint au recto à perforations sur le côté gauche et échantillons de tissus collés.	Drawing, painted leaflet with perforations on the left side and bonded tissue samples.
"Au recto, en haut à droite, au crayon graphite : ""Christia"" ; Au recto, au centre, au crayon graphite : ""Manteau lainage noir / -écharpe mousseline-"""	On the front, at the top right, in a graphite pencil: ‘Christia’; On the front, in the center, in a graphite pencil: ‘Black woolen coat/-mousseline- scarf’
"Au recto, en bas à droite, au lavis d'encre brune : ""gravé par Dup[in]"" [Ajouté postérieurement]"	On the front, at the bottom right, with brown ink wash: ‘engraved by Dup [in]’ [Added later]
Feuillet peint sur le recto, en papier cartonné, à perforations sur le côté gauche	Painted sheet on the front, in cardstock, with perforations on the left side
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Bani Suwayf (gouvernorat) >  Ihnasiyat al-Madinah (Herakleopolis)	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Bani Suwayf (governorate)> Ihnasiyat al-Madinah (Herakleopolis)
Habit en lévite enrichi de glands, d'épaulettes et cordonnets.	Lévite habit enriched with acorns, shoulder pans and cobble.
Au verso, en bas, à droite, de la maison de couture	Below, on the right, the sewing house
Feuillet dessiné au recto à perforations sur le côté gauche	Leaf drawn on the front with perforations on the left side
Référence Géographique Historique >  Inconnu	Historical geographical reference> Unknown
Feuille de papier calque dessiné contrecollé sur un papier cartonné au recto à perforations sur le côté gauche avec échantillon de tissu collé	Sheet of tracing paper depicted on a cardstock with perforations on the left side with a sample of glued cloth
"Sur la page de l'album, en haut à droite, à l'encre noire : ""9"""	On the page of the album, at the top right, in black ink: ‘9’
"Au verso, en haut à droite, manuscrit à l'encre noire : 93"""	"On the verso, at the top right, manuscript in black ink: 93 """
Estampe aquarellée fixée sur un montage.	Watercolour plate attached to an assembly.
"Sur la page de l'album, en haut à gauche, à l'encre noire : ""32"""	On the page of the album, at the top left, in black ink: ‘32’
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Sawhaj (gouvernorat) >  Abydos	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Sawhaj (governorate)> Abydos
Référence Géographique Historique >  Asie >  Mésopotamie >  Assyrie (Iraq, sud-est Turquie) >  Nimrud	Historical geographical reference> Asia> Mesopotamia> Assyria (Iraq, southeast Turkey)> Nimrud
Référence Géographique >  Europe >  Europe occidentale >  Benelux >  Belgique >  Flandre >  Limbourg (province, Belgique) >  Tongres	Geographical Reference> Europe> Western Europe> Benelux> Belgium> Flanders> Limburg (province, Belgium)> Tongeren
Référence Géographique >  Asie >  Proche et Moyen Orient >  Iran	Geographical Reference> Asia> Near and Middle East> Iran
Référence Géographique >  Europe >  Europe occidentale >  Benelux >  Belgique >  Flandre >  Brabant-Flamand (province) >  Landen >  Walsbets	Geographical Reference> Europe> Western Europe> Benelux> Belgium> Flanders> Flemish Brabant (province)> Landen> Walsbets
Référence Géographique >  Europe >  Europe occidentale >  Benelux >  Belgique >  Flandre >  Limbourg (province, Belgique) >  Gingelom >  Fresin	Geographical Reference> Europe> Western Europe> Benelux> Belgium> Flanders> Limburg (province, Belgium)> Gingelom> Fresin
Référence Géographique >  Afrique >  Afrique septentrionale >  Soudan >  Ash-Sharikiyah (région) >  Kassala (province) >  Faras	Geographical Reference> Africa> North Africa> Sudan> Ash-Sharikiyah (region)> Kassala (province)> Faras
Object: Eglise Sainte-Waudru[Mons], Mons.	Object: Sainte-Waudru Church [Mons], Mons.
Object: Musée provincial des Arts anciens du Namurois, Namur.	Object: Namur Provincial Museum of Ancient Arts.
Object: Musée de Groesbeeck de Croix, Namur.	Object: Groesbeeck Museum of Croix, Namur.
Object: Musées Royaux des Beaux-Arts de Belgique, Bruxelles.	Object: Royal Museums of Fine Arts of Belgium, Brussels.
Object: Grand Séminaire de Namur, Namur.	Object: Grand Seminary of Namur, Namur.
Statuette du prêtre Téos portant devant lui une image de vautour.	Figurine of the priest Teos in front of him an image of a vulture.
Ces fragments de plat sont décorés d'une représentation d'une pièce d'eau d'où sortaient cinq lotus ouverts séparés chacun par trois lotus fermés. Spécifiquement funéraire, cette décoration symbolise la renaissance: au moment de la création, le soleil était né d'un lotus, vivant dans le Noun, l'Océan primordial.	These fragments are decorated with a depiction of a piece of water where five open lotus trees each separated by three closed lotus trees. Specifically funerary, this decoration symbolizes the rebirth: at the time of creation, the sun was born from a lotus, living in the Noun, the primordial Ocean.
Référence Géographique >  Amérique >  Amérique du Sud >  Chili >  Valparaíso (région) >  Île de Pâques	Geographical Reference> America> South America> Chile> Valparaíso (region)> Easter Island
"Inscription manuscrite au recto dans l'angle supérieur droit, encre rouge : ""n° 64""."	Handwritten inscription on the front in the upper right corner, red ink: ‘n ° 64.’
Robe du soir longue bustier en jersey de viscose blanc entièrement plissé sur le bustier, un pan en jersey gris partant du milieu devant, à draper en étole. Fond de jupe en crêpe de soie blanc, corsage bustier entièrement plissé, attaches métalliques dans le dos.	Evening dress long bustier in white viscose jersey fully pleated on the bustier, a gray jersey pan from the middle in front, to be draped in stole. White silk pancake skirt base, fully pleated bustier corsage, metal fasteners in the back.
Référence Géographique >  Afrique >  Afrique septentrionale >  Égypte >  Haute-Égypte (région) >  Assouan (gouvernorat) >  Jazirat Aswan (Elephantine)	Geographical Reference> Africa> North Africa> Egypt> Upper Egypt (region)> Aswan (governorate)> Jazirat Aswan (Elephantine)
Référence Géographique >  Océanie >  Nouvelle-Zélande	Geographical Reference> Oceania> New Zealand
"Original language summary: <br/>
M. Depuijdt, fantassin belge au 1er Rgt. de Grenadiers, décrit les effets meurtriers des inondations de l'Yser (28 octobre 1914) sur l'infanterie allemande."	Original language summary: <br/> M. Depuijdt, Belgian infantryman at the 1st Rgt. of Grenadiers, describes the deadly effects of the floods in the Yser (28 October 1914) on the German infantry.
Messe de Noël en ch'ti à Wazemmes	Christmas Mass in Chti at Wazemmes
"Original language summary: <br/>
Portrait de Pierre Wynants, chef du grand restaurant étoilé bruxellois ""Comme chez soi"". On suit Pierre Wynants dans les cuisines du restaurant et au marché matinal."	Original language summary: <br/> Portrait of Pierre Wynants, head of the great Brussels star restaurant ‘Like at home.’ Pierre Wynants is followed in the restaurant kitchens and at the morning market.
Le chemin des écoliers	The school children's way
"Original language summary: <br/>
Des images des premières heures du coup d’Etat qui a vu le général  Phaedon Ghizikis remplacer le Colonel  Georgios Papadopoulos."	Original language summary: <br/> Pictures of the first hours of the coup which saw General Phaedon Ghizikis replace Colonel Georgios Papadopoulos.
Object: Cathédrale Saint-Paul, Liège.	Object: Saint Paul’s Cathedral, Liège.
Céramique; Glaçure; Peinture sous glaçure	Ceramic; Glaçure; Painting under glaze
Bois; Peinture sur stuc; Lin (Linum usitatissimum)	Wood; Painting on stucco; Linum usitatissimum
Iannis Xenakis : Nuits - création mondiale	Iannis Xenakis: Nights - global creation
Jacques Hebertot parle de la fondation des Ballets Suédois	Jacques Hebertot talks about the founding of the Swedish Ballets
Figure en robe marron, maison Marcelle Dormoy, collection printemps 1934	Figure in brown dress, Marcel Dormoy house, Spring Collection 1934
Figure en robe longue plissée, Marcelle Dormoy, Hiver 1931-1932	Figure in pleated long dress, Marcel Dormoy, Winter 1931-1932
Figure vêtue d'une robe d'après-midi, archives graphiques de la maison Grès, Automne-Hiver 1943	Figure dressed in an afternoon dress, graphic archive of the house Grès, Autumn Winter 1943
Robe bustier, fond, écharpe et une paire de longs gants. Robe, bustieren jersey de viscose blanc, avec drapé de plissés fins sur la poitrine et dans le dos, jupe très large à plissés très fins, fermée sur le côté par des agrafes et des pressions. Fond de robe en jersey de vioscose blanc. Echarpe très longue, se porte plissée.	Beaker dress, base, scarf and a pair of long gloves. Robe, bustieren jersey of white viscose, with draped thin pleats on the chest and back, very wide skirt with very thin pleats, closed on the side by staples and pressures. White vioscose jersey dress base. Very long scarf, wears.
"Original language summary: <br/>
A l’heure où débute le procès d’Adolf Eichmann, l’Etat d’Israël a 12 ans. Le pays connaît des problèmes graves liés à l’immigration, à la surpopulation, à la coexistence de groupes humains très différents."	Original language summary: <br/> At the start of the trial of Adolf Eichmann, the State of Israel is 12 years old. The country is experiencing serious problems linked to immigration, overpopulation, the coexistence of very different human groups.
"Original language summary: <br/>
Interview du président Ben Bella  sur ses sentiments vis-à-vis de la France, sur l’interdiction du parti communiste, sur les tribunaux populaires, sur l’OAS."	Original language summary: <br/> Interview with President Ben Bella on his feelings towards France, on the ban on the Communist Party, on the popular courts, on the OAS.
